City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Ponta Do Sol,PT,32.6667,-17.1,69.8,83,20,6.91,few clouds
191,Kurtamysh,RU,54.9103,64.4319,38.46,93,100,7.27,overcast clouds
192,Constitucion,CL,-35.3333,-72.4167,70.43,56,9,15.82,clear sky
193,Karakulino,RU,56.012,53.7067,42.06,93,100,6.02,overcast clouds
194,Dahuk,IQ,36.8695,42.994,51.73,41,32,4.45,scattered clouds
195,Saalfeld,DE,50.65,11.3667,35.01,82,100,2.91,overcast clouds
196,Margate,GB,51.3813,1.3862,41.0,65,5,1.99,clear sky
197,Arkhangelsk,RU,64.5401,40.5433,44.6,45,20,6.71,light rain
198,Sibi,PK,29.5448,67.8764,86.5,11,59,5.46,broken clouds
199,Luderitz,NA,-26.6481,15.1594,79.03,39,55,8.16,broken clouds
200,Nadym,RU,65.5333,72.5167,29.37,80,62,25.75,broken clouds
201,Kyrksaeterora,NO,63.2906,9.0891,37.4,65,40,10.36,light rain
202,Corner Brook,CA,48.9667,-57.9484,46.4,93,90,19.57,light rain
203,Sorong,ID,-0.8833,131.25,78.55,84,79,8.63,broken clouds
204,Madaoua,NE,14.073,5.96,84.07,8,0,2.06,clear sky
205,Magadan,RU,59.5667,150.8,0.75,78,85,8.01,overcast clouds
206,Port Lincoln,AU,-34.7333,135.8667,68.97,30,100,28.57,overcast clouds
207,Atar,MR,20.5169,-13.0499,87.39,13,4,10.42,clear sky
208,Kudahuvadhoo,MV,2.6708,72.8944,81.99,75,47,5.61,scattered clouds
209,Noumea,NC,-22.2763,166.4572,78.01,100,90,3.13,moderate rain
210,Bayan,CN,46.0833,127.4,24.28,61,96,12.39,overcast clouds
211,Machali,CL,-34.1833,-70.6667,80.6,22,0,9.22,clear sky
212,Almaty,KZ,43.25,76.95,50.0,57,40,4.47,scattered clouds
213,Torbay,CA,47.6666,-52.7314,37.0,100,90,16.11,moderate rain
214,Saint-Philippe,RE,-21.3585,55.7679,78.8,78,0,6.91,moderate rain
215,Portland,US,45.5234,-122.6762,63.0,21,20,11.5,few clouds
216,Tura,IN,25.5198,90.2201,75.47,36,0,3.13,clear sky
217,Naze,JP,28.3667,129.4833,66.97,89,98,16.71,overcast clouds
218,Faya,SA,18.3851,42.4509,64.4,67,0,4.61,clear sky
219,Hearst,CA,49.6835,-83.6665,39.2,87,100,6.91,overcast clouds
220,Codrington,AU,-38.2667,141.9667,55.6,61,100,14.52,overcast clouds
221,Vila Velha,BR,-20.3297,-40.2925,86.0,62,0,9.22,clear sky
222,Candolim,IN,15.5181,73.7626,82.27,85,15,7.07,few clouds
223,Kysyl-Syr,RU,63.8986,122.7617,-9.42,100,92,2.15,overcast clouds
224,Marsh Harbour,BS,26.5412,-77.0636,74.8,79,32,20.22,scattered clouds
225,Wroclaw,PL,51.1,17.0333,37.4,93,75,10.36,light rain
