City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
188,Port Alfred,ZA,71.04,broken clouds,-33.5906,26.891,The Halyards Hotel
190,Ponta Do Sol,PT,69.8,few clouds,32.6667,-17.1,Hotel do Campo
192,Constitucion,CL,70.43,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
194,Dahuk,IQ,51.73,scattered clouds,36.8695,42.994,Parwar Hotel
198,Sibi,PK,86.5,broken clouds,29.5448,67.8764,Jail Superintendent House
203,Sorong,ID,78.55,broken clouds,-0.8833,131.25,waigo splash hotel
204,Madaoua,NE,84.07,clear sky,14.073,5.96,
206,Port Lincoln,AU,68.97,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
207,Atar,MR,87.39,clear sky,20.5169,-13.0499,Oumou Elghoura
208,Kudahuvadhoo,MV,81.99,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
209,Noumea,NC,78.01,moderate rain,-22.2763,166.4572,Hôtel Le Lagon
211,Machali,CL,80.6,clear sky,-34.1833,-70.6667,Mining House
212,Almaty,KZ,50.0,scattered clouds,43.25,76.95,Holiday Inn Almaty
214,Saint-Philippe,RE,78.8,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
215,Portland,US,63.0,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
216,Tura,IN,75.47,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
217,Naze,JP,66.97,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
218,Faya,SA,64.4,clear sky,18.3851,42.4509,مقبرة ال مجمل
220,Codrington,AU,55.6,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
221,Vila Velha,BR,86.0,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
222,Candolim,IN,82.27,few clouds,15.5181,73.7626,Resort Terra Paraiso
224,Marsh Harbour,BS,74.8,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
230,Grand Gaube,MU,73.99,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
234,Laguna,US,75.99,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
235,Halifax,CA,53.6,few clouds,44.6453,-63.5724,Hotel Halifax
237,Beni,CD,62.26,light rain,0.5,29.4667,Albertine hotel
238,Makungu,TZ,63.43,light rain,-8.7333,35.2833,Complex
239,Ancud,CL,60.8,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
240,Kang,BW,70.86,clear sky,-23.6752,22.7876,Kang Ultra Stop
241,Lagoa,PT,61.21,overcast clouds,39.05,-27.9833,Casa Das Faias
242,Camacha,PT,68.0,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
243,Necochea,AR,78.01,clear sky,-38.5473,-58.7368,dyd -mar Hotel
245,Gat,IL,57.99,clear sky,31.61,34.7642,OlusHome
246,Yuncheng,CN,52.86,overcast clouds,35.0231,110.9928,晋州快捷酒店
247,Mmathubudukwane,BW,71.6,clear sky,-24.6,26.4333,Gill Sleepover Guesthouse
249,Los Llanos De Aridane,ES,69.8,clear sky,28.6585,-17.9182,Valle Aridane
250,Acapulco,MX,84.2,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
251,Sohodol,RO,53.6,few clouds,46.35,23.0333,Panna Gusto Cazare
253,Roebourne,AU,81.09,overcast clouds,-20.7833,117.1333,Harding River Caravan Park
255,Chapais,CA,59.0,broken clouds,49.7834,-74.8492,Hôtel Opémiska
256,Cankuzo,BI,58.28,light rain,-3.1333,30.5833,
257,Isangel,VU,78.75,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
259,Vila Franca Do Campo,PT,64.4,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
260,Geraldton,AU,66.2,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
262,Labrea,BR,86.36,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
263,Woodburn,US,61.0,clear sky,45.1437,-122.8554,Best Western Woodburn
267,Puerto Ayacucho,VE,83.89,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
269,Santiago Del Estero,AR,79.18,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
270,Wajima,JP,55.29,light rain,37.4,136.9,Wajiima Onsen Yashio
272,Nago,JP,71.6,broken clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
275,Savannah Bight,HN,89.6,few clouds,16.45,-85.85,Villa on Dunbar Rock
276,Kavaratti,IN,82.92,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
282,Oum Hadjer,TD,87.69,broken clouds,13.2954,19.6966,
284,Kot Radha Kishan,PK,80.6,haze,31.1725,74.0997,Mein Pervaiz Ansari Residence
286,Kutum,SD,71.55,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
287,Syracuse,IT,59.0,scattered clouds,37.0881,15.2792,Hotel Posta
288,Santa Rosa,PH,79.0,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
289,Vao,NC,76.42,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
291,Tigbao,PH,79.48,scattered clouds,12.5546,123.3389,
292,Charters Towers,AU,65.68,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
293,Innisfail,AU,72.39,scattered clouds,-17.5333,146.0333,Moondarra Motel
294,Buraydah,SA,77.0,clear sky,26.326,43.975,فندق راحة السلام
295,Ciudad Bolivar,VE,90.63,overcast clouds,8.1222,-63.5497,Hotel Edi
298,Carauari,BR,88.81,scattered clouds,-4.8828,-66.8958,Hotel Fellip
300,Barddhaman,IN,82.0,clear sky,23.25,87.85,"Sinclairs Tourist Resort, Burdwan"
301,Matagami,CA,60.8,few clouds,49.7502,-77.6328,Hôtel Matagami
304,Zvishavane,ZW,62.44,clear sky,-20.3267,30.0665,Hotel Boutique Runde
307,Obo,CF,72.03,light rain,5.3998,26.4869,
308,Giyani,ZA,70.16,clear sky,-23.3025,30.7187,Kulani Country Lodge
309,Morondava,MG,80.22,overcast clouds,-20.2833,44.2833,La Case Bambou
311,Irondequoit,US,50.0,light rain,43.2134,-77.5797,Hampton Inn Rochester-Irondequoit
312,Takaka,NZ,61.0,clear sky,-40.85,172.8,Golden Bay Motels
316,Omboue,GA,79.59,overcast clouds,-1.5746,9.2618,Hotel Olako
317,Santa Maria,BR,71.6,broken clouds,-29.6842,-53.8069,Hotel Morotin
318,Lexington,US,66.99,few clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
320,Garbolovo,RU,52.0,broken clouds,60.3413,30.4955,emerald hills
322,Bambous Virieux,MU,75.2,light rain,-20.3428,57.7575,Casa Tia Villa
323,Sao Felix Do Xingu,BR,85.73,broken clouds,-6.6447,-51.995,Rio Xingu Camping
324,Tautira,PF,86.0,broken clouds,-17.7333,-149.15,Pension Oaoa
326,Moroni,KM,80.28,light rain,-11.7022,43.2551,Hotel les Arcades
328,Kabare,CD,62.74,light rain,-2.4683,28.8242,Hôtel Panorama
329,Felanitx,ES,57.2,broken clouds,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
332,Nuevo Laredo,MX,87.8,broken clouds,27.4763,-99.5164,City Express Nuevo Laredo
335,Puerto Escondido,MX,87.8,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
336,Alofi,NU,77.0,light rain,-19.0595,-169.9187,Taloa Heights
337,Cayenne,GF,86.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
338,Bichena,ET,55.09,moderate rain,10.45,38.2,yichalal hotel
339,Chapadinha,BR,78.78,overcast clouds,-3.7417,-43.3603,Chapadinhense Hotel
341,Ouegoa,NC,76.8,scattered clouds,-20.35,164.4333,
342,Bamnet Narong,TH,79.21,overcast clouds,15.4992,101.6897,Jong Jaroen Resort
343,Ambilobe,MG,73.85,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
344,Inhambane,MZ,73.99,clear sky,-23.865,35.3833,Oceano
345,Padang,ID,77.16,overcast clouds,-0.9492,100.3543,Mercure Padang
346,Keti Bandar,PK,79.02,clear sky,24.1447,67.4497,Haji laloo memon house
348,Sakakah,SA,66.2,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
349,Pinheiro Machado,BR,71.01,clear sky,-31.5783,-53.3811,Hotel e Restaurante Quitandinha
350,Santa Catalina,PH,77.83,overcast clouds,9.3337,122.8637,Don Pacondo
352,Pochutla,MX,88.0,clear sky,15.7432,-96.4661,Hotel Posada San Jose
353,Muriti,TZ,71.6,light rain,-1.9833,32.9167,
355,Adrar,MR,87.39,clear sky,20.5022,-10.0711,
358,Azalea Park,US,86.0,scattered clouds,28.5411,-81.3006,Best Western Orlando East Inn & Suites
360,Korla,CN,52.2,broken clouds,41.7597,86.1469,Gulisitan Hotel
361,Alugan,PH,79.38,broken clouds,12.2188,125.4808,JM Lodge
362,Bachaquero,VE,87.82,scattered clouds,9.9694,-71.1494,casa de los dinosaurios
363,Bara,NG,86.23,few clouds,10.3744,10.7288,
364,Luanda,AO,80.6,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
365,Namibe,AO,79.47,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
366,Along,IN,62.92,scattered clouds,28.1667,94.7667,Hotel West
368,Pizarro,CO,82.81,broken clouds,4.9533,-77.366,Hotel Limonar
370,Brownsville,US,82.4,overcast clouds,25.9018,-97.4975,University Inn & Suites
371,Alikalia,SL,78.84,overcast clouds,9.1667,-11.4,
373,Port-Gentil,GA,82.4,few clouds,-0.7193,8.7815,Fengshui Residence
374,Fiche,ET,54.07,moderate rain,9.8,38.7333,Feezone hotel
375,Sao Raimundo Das Mangabeiras,BR,81.52,overcast clouds,-7.0219,-45.4811,Hotel Tropical
378,Santa Maria La Alta,MX,84.42,clear sky,18.6,-97.6667,Hotel linda vista
379,Ngunguru,NZ,60.01,few clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
380,Coahuayana,MX,82.4,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
381,Saint Simons,US,84.2,clear sky,31.1352,-81.3901,Holiday Inn Express Saint Simons Island
384,Colac,AU,50.0,overcast clouds,-38.3333,143.5833,Otway Gate Motel
385,Yambio,SS,70.83,overcast clouds,4.5721,28.3955,Naivasha Hotel
386,Poum,NC,77.58,scattered clouds,-20.2333,164.0167,Gîte kajeon
387,Dingle,PH,75.96,light rain,10.9995,122.6711,SEGAYA PROPERTY
388,Moron,AR,75.2,clear sky,-34.6534,-58.6198,Hotel Morón
391,Marawi,PH,75.0,overcast clouds,7.9986,124.2928,Derogongan Residence
392,Beloha,MG,73.6,scattered clouds,-25.1667,45.05,
394,Saldanha,ZA,66.2,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
395,Salalah,OM,82.4,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
396,Takoradi,GH,81.9,broken clouds,4.8845,-1.7554,Raybow International Hotel
397,Lagos,NG,82.4,few clouds,6.5833,3.75,
399,Marfino,RU,51.01,clear sky,55.7028,37.3822,ARK guest house
402,Barao De Melgaco,BR,87.8,scattered clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
403,Tefe,BR,86.0,light rain,-3.3542,-64.7114,Aracati Hotel
